date,home_team,away_team,home_xg,away_xg,home_1h_xg,away_1h_xg,home_2h_xg,away_2h_xg,home_shots_1h,away_shots_1h,league,season
2023-08-11,Almeria,Vallecano,1.1,2.65,0.59,1.13,0.51,1.52,6,6,La_Liga,2023-2024
2023-08-11,Sevilla,Valencia,1.7,2.1,0.8,1.01,0.9,1.09,8,3,La_Liga,2023-2024
2023-08-12,Las Palmas,Mallorca,0.74,1.15,0.32,0.46,0.42,0.69,8,3,La_Liga,2023-2024
2023-08-12,Sociedad,Girona,1.23,1.51,0.45,0.54,0.78,0.97,6,2,La_Liga,2023-2024
2023-08-12,Ath Bilbao,Real Madrid,0.15,2.51,0.08,1.15,0.07,1.36,8,7,La_Liga,2023-2024
2023-08-13,Celta,Osasuna,0.7,1.79,0.26,0.7,0.44,1.09,4,6,La_Liga,2023-2024
2023-08-13,Villarreal,Betis,1.53,1.69,0.76,0.73,0.77,0.96,5,4,La_Liga,2023-2024
2023-08-13,Getafe,Barcelona,0.16,0.27,0.09,0.14,0.07,0.13,2,4,La_Liga,2023-2024
2023-08-14,Cadiz,Alaves,1.61,0.26,0.65,0.11,0.96,0.15,2,6,La_Liga,2023-2024
2023-08-14,Ath Madrid,Granada,2.63,1.17,1.11,0.47,1.52,0.7,2,4,La_Liga,2023-2024
2023-08-18,Mallorca,Villarreal,0.58,1.77,0.27,0.83,0.31,0.94,2,5,La_Liga,2023-2024
2023-08-18,Valencia,Las Palmas,2.17,1.44,0.76,0.69,1.41,0.75,8,3,La_Liga,2023-2024
2023-08-19,Sociedad,Celta,1.81,1.37,0.84,0.6,0.97,0.77,7,7,La_Liga,2023-2024
2023-08-19,Almeria,Real Madrid,1.45,2.88,0.72,1.2,0.73,1.68,2,5,La_Liga,2023-2024
2023-08-19,Osasuna,Ath Bilbao,0.7,2.15,0.27,0.86,0.43,1.29,3,2,La_Liga,2023-2024
2023-08-20,Girona,Getafe,2.65,0.53,0.96,0.23,1.69,0.3,7,6,La_Liga,2023-2024
2023-08-20,Barcelona,Cadiz,2.46,0.76,0.92,0.34,1.54,0.42,7,5,La_Liga,2023-2024
2023-08-20,Betis,Ath Madrid,0.55,0.11,0.27,0.06,0.28,0.05,6,3,La_Liga,2023-2024
2023-08-21,Granada,Vallecano,1.0,2.15,0.36,1.09,0.64,1.06,8,4,La_Liga,2023-2024
2023-08-21,Alaves,Sevilla,4.42,2.31,2.26,1.08,2.16,1.23,3,2,La_Liga,2023-2024
2023-08-25,Celta,Real Madrid,0.62,1.72,0.23,0.82,0.39,0.9,4,4,La_Liga,2023-2024
2023-08-25,Las Palmas,Sociedad,0.17,0.1,0.06,0.05,0.11,0.05,8,6,La_Liga,2023-2024
2023-08-26,Granada,Mallorca,3.66,1.96,1.97,1.04,1.69,0.92,8,2,La_Liga,2023-2024
2023-08-26,Cadiz,Almeria,1.89,1.6,0.74,0.83,1.15,0.77,7,1,La_Liga,2023-2024
2023-08-26,Sevilla,Girona,1.32,2.21,0.52,0.83,0.8,1.38,6,2,La_Liga,2023-2024
2023-08-27,Villarreal,Barcelona,2.95,3.54,1.03,1.91,1.92,1.63,6,2,La_Liga,2023-2024
2023-08-27,Ath Bilbao,Betis,3.75,2.88,1.58,1.15,2.17,1.73,4,1,La_Liga,2023-2024
2023-08-27,Valencia,Osasuna,1.57,1.7,0.66,0.69,0.91,1.01,2,3,La_Liga,2023-2024
2023-08-28,Getafe,Alaves,1.55,0.19,0.83,0.07,0.72,0.12,5,7,La_Liga,2023-2024
2023-08-28,Vallecano,Ath Madrid,0.71,4.0,0.37,1.98,0.34,2.02,6,1,La_Liga,2023-2024
2023-09-01,Almeria,Celta,1.84,3.24,0.7,1.38,1.14,1.86,7,4,La_Liga,2023-2024
2023-09-01,Cadiz,Villarreal,3.73,1.09,1.86,0.53,1.87,0.56,6,6,La_Liga,2023-2024
2023-09-02,Sociedad,Granada,4.39,3.31,1.81,1.19,2.58,2.12,7,2,La_Liga,2023-2024
2023-09-02,Betis,Vallecano,0.6,0.87,0.29,0.32,0.31,0.55,4,4,La_Liga,2023-2024
2023-09-02,Real Madrid,Getafe,1.56,1.27,0.62,0.47,0.94,0.8,7,6,La_Liga,2023-2024
2023-09-02,Alaves,Valencia,0.38,0.12,0.16,0.06,0.22,0.06,8,2,La_Liga,2023-2024
2023-09-03,Girona,Las Palmas,1.0,1.1,0.38,0.55,0.62,0.55,8,7,La_Liga,2023-2024
2023-09-03,Mallorca,Ath Bilbao,0.45,0.76,0.2,0.31,0.25,0.45,8,7,La_Liga,2023-2024
2023-09-03,Osasuna,Barcelona,1.15,2.26,0.43,1.02,0.72,1.24,7,4,La_Liga,2023-2024
2023-09-15,Vallecano,Alaves,3.03,0.12,1.16,0.06,1.87,0.06,2,1,La_Liga,2023-2024
2023-09-16,Valencia,Ath Madrid,3.02,0.1,1.3,0.05,1.72,0.05,5,1,La_Liga,2023-2024
2023-09-16,Celta,Mallorca,1.36,1.43,0.69,0.66,0.67,0.77,3,1,La_Liga,2023-2024
2023-09-16,Ath Bilbao,Cadiz,3.16,0.52,1.48,0.21,1.68,0.31,3,1,La_Liga,2023-2024
2023-09-16,Barcelona,Betis,4.5,0.73,1.67,0.36,2.83,0.37,2,6,La_Liga,2023-2024
2023-09-17,Sevilla,Las Palmas,1.25,0.18,0.58,0.07,0.67,0.11,6,7,La_Liga,2023-2024
2023-09-17,Villarreal,Almeria,2.31,1.05,0.92,0.54,1.39,0.51,7,2,La_Liga,2023-2024
2023-09-17,Getafe,Osasuna,3.26,1.94,1.42,0.82,1.84,1.12,5,3,La_Liga,2023-2024
2023-09-17,Real Madrid,Sociedad,2.31,0.85,1.12,0.38,1.19,0.47,7,4,La_Liga,2023-2024
2023-09-18,Granada,Girona,2.43,4.0,0.99,1.58,1.44,2.42,2,6,La_Liga,2023-2024
2023-09-22,Alaves,Ath Bilbao,0.15,2.36,0.06,1.19,0.09,1.17,5,2,La_Liga,2023-2024
2023-09-23,Osasuna,Sevilla,0.63,0.55,0.33,0.26,0.3,0.29,4,7,La_Liga,2023-2024
2023-09-23,Almeria,Valencia,2.63,2.3,1.1,0.92,1.53,1.38,4,1,La_Liga,2023-2024
2023-09-23,Barcelona,Celta,2.61,2.48,1.35,1.14,1.26,1.34,4,6,La_Liga,2023-2024
2023-09-23,Girona,Mallorca,4.5,2.95,2.25,1.22,2.25,1.73,7,2,La_Liga,2023-2024
2023-09-24,Betis,Cadiz,1.43,1.4,0.67,0.67,0.76,0.73,3,5,La_Liga,2023-2024
2023-09-24,Ath Madrid,Real Madrid,2.39,1.06,1.12,0.44,1.27,0.62,7,4,La_Liga,2023-2024
2023-09-24,Las Palmas,Granada,0.67,0.14,0.31,0.06,0.36,0.08,7,5,La_Liga,2023-2024
2023-09-24,Vallecano,Villarreal,1.45,2.37,0.67,1.3,0.78,1.07,3,1,La_Liga,2023-2024
