date,home_team,away_team,home_xg,away_xg,home_1h_xg,away_1h_xg,home_2h_xg,away_2h_xg,home_shots_1h,away_shots_1h,league,season
2023-08-11,Burnley,Man City,0.9,2.64,0.38,1.15,0.52,1.49,3,3,EPL,2023-2024
2023-08-12,Sheffield United,Crystal Palace,0.85,1.1,0.37,0.56,0.48,0.54,4,2,EPL,2023-2024
2023-08-12,Brighton,Luton,4.14,1.38,1.99,0.6,2.15,0.78,6,1,EPL,2023-2024
2023-08-12,Arsenal,Nott'm Forest,2.33,1.49,1.16,0.6,1.17,0.89,3,2,EPL,2023-2024
2023-08-12,Newcastle,Aston Villa,4.5,1.87,1.76,0.97,2.74,0.9,6,5,EPL,2023-2024
2023-08-12,Bournemouth,West Ham,2.14,1.7,1.15,0.86,0.99,0.84,4,4,EPL,2023-2024
2023-08-12,Everton,Fulham,1.14,0.93,0.43,0.41,0.71,0.52,3,2,EPL,2023-2024
2023-08-13,Brentford,Tottenham,2.84,2.12,1.46,1.11,1.38,1.01,2,5,EPL,2023-2024
2023-08-13,Chelsea,Liverpool,1.45,1.12,0.74,0.4,0.71,0.72,3,4,EPL,2023-2024
2023-08-14,Man United,Wolves,1.47,0.18,0.76,0.07,0.71,0.11,6,6,EPL,2023-2024
2023-08-18,Nott'm Forest,Sheffield United,2.27,1.38,1.0,0.52,1.27,0.86,6,7,EPL,2023-2024
2023-08-19,Tottenham,Man United,2.32,0.55,1.24,0.28,1.08,0.27,7,7,EPL,2023-2024
2023-08-19,Man City,Newcastle,1.37,0.62,0.62,0.27,0.75,0.35,7,5,EPL,2023-2024
2023-08-19,Wolves,Brighton,1.02,4.0,0.39,1.99,0.63,2.01,4,3,EPL,2023-2024
2023-08-19,Fulham,Brentford,0.54,2.66,0.26,1.17,0.28,1.49,8,2,EPL,2023-2024
2023-08-19,Liverpool,Bournemouth,2.85,1.64,1.11,0.6,1.74,1.04,8,7,EPL,2023-2024
2023-08-20,Aston Villa,Everton,4.2,0.1,2.05,0.05,2.15,0.05,7,1,EPL,2023-2024
2023-08-20,West Ham,Chelsea,2.44,1.81,0.91,0.93,1.53,0.88,3,1,EPL,2023-2024
2023-08-21,Crystal Palace,Arsenal,1.01,0.8,0.51,0.37,0.5,0.43,2,4,EPL,2023-2024
2023-08-25,Chelsea,Luton,2.81,0.26,1.27,0.11,1.54,0.15,3,5,EPL,2023-2024
2023-08-26,Arsenal,Fulham,2.44,2.24,1.16,1.17,1.28,1.07,5,2,EPL,2023-2024
2023-08-26,Bournemouth,Tottenham,0.75,1.94,0.27,0.78,0.48,1.16,6,6,EPL,2023-2024
2023-08-26,Brighton,West Ham,1.4,2.54,0.68,1.1,0.72,1.44,7,4,EPL,2023-2024
2023-08-26,Everton,Wolves,0.15,0.94,0.06,0.5,0.09,0.44,8,3,EPL,2023-2024
2023-08-26,Brentford,Crystal Palace,1.54,1.69,0.68,0.6,0.86,1.09,3,3,EPL,2023-2024
2023-08-26,Man United,Nott'm Forest,3.07,2.65,1.43,1.11,1.64,1.54,7,7,EPL,2023-2024
2023-08-27,Sheffield United,Man City,1.22,1.88,0.67,0.87,0.55,1.01,4,5,EPL,2023-2024
2023-08-27,Newcastle,Liverpool,1.55,2.52,0.55,1.06,1.0,1.46,4,6,EPL,2023-2024
2023-08-27,Burnley,Aston Villa,1.29,3.53,0.68,1.68,0.61,1.85,8,6,EPL,2023-2024
2023-09-01,Luton,West Ham,1.26,1.74,0.54,0.95,0.72,0.79,6,3,EPL,2023-2024
2023-09-02,Sheffield United,Everton,2.31,2.17,0.96,1.17,1.35,1.0,7,4,EPL,2023-2024
2023-09-02,Brentford,Bournemouth,2.31,2.45,1.21,1.19,1.1,1.26,3,6,EPL,2023-2024
2023-09-02,Burnley,Tottenham,2.25,4.0,0.9,1.74,1.35,2.26,3,5,EPL,2023-2024
2023-09-02,Chelsea,Nott'm Forest,1.09,0.78,0.59,0.3,0.5,0.48,8,5,EPL,2023-2024
2023-09-02,Man City,Fulham,4.5,1.39,1.6,0.54,2.9,0.85,8,7,EPL,2023-2024
2023-09-02,Brighton,Newcastle,3.77,1.79,1.51,0.88,2.26,0.91,2,2,EPL,2023-2024
2023-09-03,Arsenal,Man United,2.79,1.6,1.33,0.63,1.46,0.97,5,7,EPL,2023-2024
2023-09-03,Liverpool,Aston Villa,3.02,0.18,1.59,0.08,1.43,0.1,5,6,EPL,2023-2024
2023-09-03,Crystal Palace,Wolves,3.72,2.09,1.57,1.13,2.15,0.96,5,6,EPL,2023-2024
2023-09-16,West Ham,Man City,1.41,3.22,0.64,1.45,0.77,1.77,5,2,EPL,2023-2024
2023-09-16,Wolves,Liverpool,1.5,3.1,0.67,1.19,0.83,1.91,2,1,EPL,2023-2024
2023-09-16,Aston Villa,Crystal Palace,3.3,1.52,1.37,0.66,1.93,0.86,7,7,EPL,2023-2024
2023-09-16,Man United,Brighton,2.72,2.98,1.01,1.42,1.71,1.56,8,2,EPL,2023-2024
2023-09-16,Fulham,Luton,1.79,0.62,0.98,0.31,0.81,0.31,7,6,EPL,2023-2024
2023-09-16,Tottenham,Sheffield United,2.02,1.01,0.78,0.4,1.24,0.61,4,7,EPL,2023-2024
2023-09-16,Newcastle,Brentford,1.84,0.6,0.71,0.32,1.13,0.28,3,4,EPL,2023-2024
2023-09-17,Bournemouth,Chelsea,0.46,0.72,0.17,0.31,0.29,0.41,5,7,EPL,2023-2024
2023-09-17,Everton,Arsenal,0.96,1.32,0.42,0.51,0.54,0.81,2,2,EPL,2023-2024
2023-09-18,Nott'm Forest,Burnley,1.62,1.73,0.86,0.84,0.76,0.89,4,2,EPL,2023-2024
2023-09-23,Crystal Palace,Fulham,0.87,1.24,0.34,0.52,0.53,0.72,2,3,EPL,2023-2024
2023-09-23,Burnley,Man United,0.21,1.22,0.11,0.66,0.1,0.56,6,2,EPL,2023-2024
2023-09-23,Man City,Nott'm Forest,1.72,1.66,0.88,0.59,0.84,1.07,8,7,EPL,2023-2024
2023-09-23,Luton,Wolves,1.43,1.21,0.6,0.46,0.83,0.75,5,3,EPL,2023-2024
2023-09-23,Brentford,Everton,1.17,2.84,0.53,1.39,0.64,1.45,6,1,EPL,2023-2024
