date,home_team,away_team,home_xg,away_xg,home_1h_xg,away_1h_xg,home_2h_xg,away_2h_xg,home_shots_1h,away_shots_1h,league,season
2024-08-15,Betis,Girona,0.94,1.17,0.45,0.53,0.49,0.64,6,2,La_Liga,2024-2025
2024-08-15,Ath Bilbao,Getafe,0.35,1.0,0.17,0.42,0.18,0.58,4,1,La_Liga,2024-2025
2024-08-16,Celta,Alaves,2.21,1.21,1.14,0.53,1.07,0.68,5,7,La_Liga,2024-2025
2024-08-16,Las Palmas,Sevilla,2.22,2.27,0.84,1.16,1.38,1.11,4,6,La_Liga,2024-2025
2024-08-17,Osasuna,Leganes,1.88,0.25,0.84,0.09,1.04,0.16,4,2,La_Liga,2024-2025
2024-08-17,Valencia,Barcelona,1.93,1.82,0.69,0.74,1.24,1.08,5,3,La_Liga,2024-2025
2024-08-18,Mallorca,Real Madrid,2.25,1.76,1.04,0.91,1.21,0.85,8,2,La_Liga,2024-2025
2024-08-18,Sociedad,Vallecano,1.07,1.86,0.41,0.86,0.66,1.0,5,7,La_Liga,2024-2025
2024-08-19,Villarreal,Ath Madrid,1.63,2.22,0.79,1.15,0.84,1.07,4,7,La_Liga,2024-2025
2024-08-19,Valladolid,Espanol,1.08,1.07,0.46,0.58,0.62,0.49,7,4,La_Liga,2024-2025
2024-08-23,Celta,Valencia,3.05,1.68,1.09,0.86,1.96,0.82,3,3,La_Liga,2024-2025
2024-08-23,Sevilla,Villarreal,1.79,2.64,0.93,1.3,0.86,1.34,4,4,La_Liga,2024-2025
2024-08-24,Osasuna,Mallorca,0.74,0.79,0.3,0.37,0.44,0.42,3,1,La_Liga,2024-2025
2024-08-24,Barcelona,Ath Bilbao,1.98,1.39,0.75,0.63,1.23,0.76,6,3,La_Liga,2024-2025
2024-08-24,Espanol,Sociedad,0.82,1.39,0.37,0.53,0.45,0.86,5,3,La_Liga,2024-2025
2024-08-24,Getafe,Vallecano,0.15,0.1,0.06,0.05,0.09,0.05,5,1,La_Liga,2024-2025
2024-08-25,Leganes,Las Palmas,2.15,0.99,0.85,0.5,1.3,0.49,4,1,La_Liga,2024-2025
2024-08-25,Alaves,Betis,0.15,1.02,0.07,0.39,0.08,0.63,4,3,La_Liga,2024-2025
2024-08-25,Ath Madrid,Girona,3.47,0.32,1.55,0.15,1.92,0.17,3,6,La_Liga,2024-2025
2024-08-25,Real Madrid,Valladolid,3.09,0.38,1.27,0.15,1.82,0.23,8,1,La_Liga,2024-2025
2024-08-26,Villarreal,Celta,3.84,2.45,1.69,1.32,2.15,1.13,3,2,La_Liga,2024-2025
2024-08-27,Vallecano,Barcelona,1.51,2.11,0.66,1.1,0.85,1.01,3,1,La_Liga,2024-2025
2024-08-27,Mallorca,Sevilla,0.27,0.57,0.14,0.23,0.13,0.34,5,4,La_Liga,2024-2025
2024-08-28,Sociedad,Alaves,0.99,2.89,0.44,1.32,0.55,1.57,4,5,La_Liga,2024-2025
2024-08-28,Valladolid,Leganes,0.22,0.48,0.11,0.22,0.11,0.26,5,5,La_Liga,2024-2025
2024-08-28,Ath Bilbao,Valencia,1.2,0.1,0.47,0.05,0.73,0.05,7,1,La_Liga,2024-2025
2024-08-28,Ath Madrid,Espanol,0.15,0.41,0.06,0.18,0.09,0.23,2,3,La_Liga,2024-2025
2024-08-29,Las Palmas,Real Madrid,1.51,2.4,0.55,1.11,0.96,1.29,5,2,La_Liga,2024-2025
2024-08-29,Girona,Osasuna,4.29,0.8,1.86,0.43,2.43,0.37,2,3,La_Liga,2024-2025
2024-08-31,Valencia,Villarreal,0.87,1.34,0.31,0.73,0.56,0.61,8,1,La_Liga,2024-2025
2024-08-31,Ath Bilbao,Ath Madrid,0.15,0.55,0.08,0.24,0.07,0.31,2,1,La_Liga,2024-2025
2024-08-31,Leganes,Mallorca,0.61,0.84,0.23,0.32,0.38,0.52,8,6,La_Liga,2024-2025
2024-08-31,Espanol,Vallecano,2.71,1.3,1.0,0.67,1.71,0.63,6,7,La_Liga,2024-2025
2024-08-31,Barcelona,Valladolid,4.5,0.61,2.44,0.3,2.06,0.31,7,7,La_Liga,2024-2025
2024-09-01,Sevilla,Girona,0.54,2.44,0.23,0.98,0.31,1.46,3,2,La_Liga,2024-2025
2024-09-01,Alaves,Las Palmas,2.25,0.1,0.98,0.04,1.27,0.06,6,6,La_Liga,2024-2025
2024-09-01,Getafe,Sociedad,0.15,0.1,0.06,0.05,0.09,0.05,3,2,La_Liga,2024-2025
2024-09-01,Osasuna,Celta,2.21,2.32,1.18,1.16,1.03,1.16,8,2,La_Liga,2024-2025
2024-09-01,Real Madrid,Betis,2.68,1.12,1.43,0.44,1.25,0.68,3,6,La_Liga,2024-2025
2024-09-13,Betis,Leganes,2.12,0.68,0.79,0.37,1.33,0.31,4,2,La_Liga,2024-2025
2024-09-14,Mallorca,Villarreal,0.89,1.74,0.36,0.7,0.53,1.04,8,7,La_Liga,2024-2025
2024-09-14,Sevilla,Getafe,1.55,0.58,0.8,0.26,0.75,0.32,8,1,La_Liga,2024-2025
